x            t            dtdx    
2.6285000001 0.338214908699 -0.278046083609
2.6286000001 0.338187105062 -0.278036366287
2.6287000001 0.338159302397 -0.278026648627
2.6288000001 0.338131500704 -0.278016930632
2.6289000001 0.338103699983 -0.2780072123
2.6290000001 0.338075900234 -0.277997493632
2.6291000001 0.338048101456 -0.277987774629
2.6292000001 0.338020303651 -0.277978055289
2.6293000001 0.337992506817 -0.277968335614
2.6294000001 0.337964710955 -0.277958615604
2.6295000001 0.337936916066 -0.277948895258
2.6296000001 0.337909122148 -0.277939174576
2.6297000001 0.337881329203 -0.27792945356
2.6298000001 0.33785353723 -0.277919732208
2.6299000001 0.337825746229 -0.277910010522
2.6300000001 0.3377979562 -0.2779002885
2.6301000001 0.337770167143 -0.277890566145
2.6302000001 0.337742379059 -0.277880843454
2.6303000001 0.337714591947 -0.277871120429
2.6304000001 0.337686805807 -0.27786139707
2.6305000001 0.33765902064 -0.277851673377
2.6306000001 0.337631236445 -0.27784194935
2.6307000001 0.337603453222 -0.277832224989
2.6308000001 0.337575670972 -0.277822500294
2.6309000001 0.337547889695 -0.277812775266
2.6310000001 0.33752010939 -0.277803049904
2.6311000001 0.337492330058 -0.277793324209
2.6312000001 0.337464551698 -0.27778359818
2.6313000001 0.337436774311 -0.277773871819
2.6314000001 0.337408997896 -0.277764145124
2.6315000001 0.337381222454 -0.277754418097
2.6316000001 0.337353447985 -0.277744690736
2.6317000001 0.337325674489 -0.277734963044
2.6318000001 0.337297901965 -0.277725235019
2.6319000001 0.337270130415 -0.277715506661
2.6320000001 0.337242359837 -0.277705777971
2.6321000001 0.337214590232 -0.277696048949
2.6322000001 0.3371868216 -0.277686319596
2.6323000001 0.337159053941 -0.27767658991
2.6324000001 0.337131287255 -0.277666859893
2.6325000001 0.337103521542 -0.277657129544
2.6326000001 0.337075756802 -0.277647398863
2.6327000001 0.337047993035 -0.277637667852
2.6328000001 0.337020230242 -0.277627936509
2.6329000001 0.336992468421 -0.277618204835
2.6330000001 0.336964707574 -0.27760847283
2.6331000001 0.3369369477 -0.277598740495
2.6332000001 0.336909188799 -0.277589007828
2.6333000001 0.336881430872 -0.277579274832
2.6334000001 0.336853673918 -0.277569541504
2.6335000001 0.336825917937 -0.277559807847
2.6336000001 0.336798162929 -0.277550073859
2.6337000001 0.336770408895 -0.277540339541
2.6338000001 0.336742655835 -0.277530604894
2.6339000001 0.336714903748 -0.277520869916
2.6340000001 0.336687152634 -0.277511134609
2.6341000001 0.336659402495 -0.277501398973
2.6342000001 0.336631653328 -0.277491663006
2.6343000001 0.336603905136 -0.277481926711
2.6344000001 0.336576157917 -0.277472190087
2.6345000001 0.336548411671 -0.277462453133
2.6346000001 0.3365206664 -0.277452715851
2.6347000001 0.336492922102 -0.27744297824
2.6348000001 0.336465178778 -0.2774332403
2.6349000001 0.336437436428 -0.277423502032
2.6350000001 0.336409695051 -0.277413763435
2.6351000001 0.336381954649 -0.277404024511
2.6352000001 0.33635421522 -0.277394285258
2.6353000001 0.336326476766 -0.277384545677
2.6354000001 0.336298739285 -0.277374805768
2.6355000001 0.336271002779 -0.277365065531
2.6356000001 0.336243267246 -0.277355324967
2.6357000001 0.336215532688 -0.277345584076
2.6358000001 0.336187799103 -0.277335842857
2.6359000001 0.336160066493 -0.27732610131
2.6360000001 0.336132334857 -0.277316359437
2.6361000001 0.336104604196 -0.277306617237
2.6362000001 0.336076874508 -0.27729687471
2.6363000001 0.336049145795 -0.277287131856
2.6364000001 0.336021418056 -0.277277388675
2.6365000001 0.335993691292 -0.277267645168
2.6366000001 0.335965965501 -0.277257901335
2.6367000001 0.335938240686 -0.277248157176
2.6368000001 0.335910516844 -0.27723841269
2.6369000001 0.335882793978 -0.277228667879
2.6370000001 0.335855072085 -0.277218922741
2.6371000001 0.335827351168 -0.277209177278
2.6372000001 0.335799631225 -0.27719943149
2.6373000001 0.335771912256 -0.277189685376
2.6374000001 0.335744194262 -0.277179938936
2.6375000001 0.335716477243 -0.277170192172
2.6376000001 0.335688761198 -0.277160445082
2.6377000001 0.335661046129 -0.277150697668
2.6378000001 0.335633332034 -0.277140949928
2.6379000001 0.335605618913 -0.277131201864
2.6380000001 0.335577906768 -0.277121453476
2.6381000001 0.335550195598 -0.277111704763
2.6382000001 0.335522485402 -0.277101955726
2.6383000001 0.335494776181 -0.277092206364
2.6384000001 0.335467067936 -0.277082456679
2.6385000001 0.335439360665 -0.277072706669
2.6386000001 0.335411654369 -0.277062956336
2.6387000001 0.335383949049 -0.277053205679
2.6388000001 0.335356244703 -0.277043454699
2.6389000001 0.335328541333 -0.277033703395
2.6390000001 0.335300838938 -0.277023951768
2.6391000001 0.335273137518 -0.277014199817
2.6392000001 0.335245437073 -0.277004447544
2.6393000001 0.335217737604 -0.276994694948
2.6394000001 0.335190039109 -0.276984942029
2.6395000001 0.335162341591 -0.276975188787
2.6396000001 0.335134645047 -0.276965435223
